id,strength,name,tags
091a8fbc-05de-4886-b7b2-facae833ad52,3,"Rea, Joel","surrealism,landscape,scene"
6247b42b-4d5c-4433-bb63-a47eb4bc4e45,,"Razumovskaya, Anna",
b7e83853-a8dd-4b03-b76b-bd204fba9bd0,,"Razumova, Julia",
95a75944-b391-4deb-9f66-2848b0ffd88b,2,"Razell, Aliza","photography,fantasy,surrealism"
a321a8ae-5634-4d9a-8110-fab4ff48594a,,"Rayburn, Tyler",photography
2272dc6d-b626-47c7-980d-f8e40a1e0376,3,"Ravilious, Eric","landscape,scene,low contrast,watercolor"
d94353e6-89c8-4b4b-a786-e806b7c09da8,,"Rauschenberg, Robert","collage,abstract"
5e3dc712-eda0-456b-836b-19f273da2faf,,"Ranson, Paul","abstract,vibrant,art nouveau,colorful"
a3eb0e33-f19a-48ce-ac8b-08d10f37c6d4,2,"Rak, Natalia","street art,whimsical,colorful,portrait"
9fc7dd31-0bc9-4843-8e87-856afafe6816,,"Rak, Martin","landscape,photography"
5120589a-7c75-44d2-b235-d8ea2c56dd64,,"Quirt, Walter",
6fbeb1dc-5bc3-41c7-b49c-f8271c09ab3f,,"Puvis de Chavannes, Pierre","symbolism,low contrast"
21802b20-30b1-492e-8780-2b69d586c5a9,,"Procter, Dod","impressionism,portrait,scene"
0661e86a-e20f-4fb8-8e46-72add184f4e2,,"Prezio, Victor","scene,character"
a339c7d2-ec46-40d1-9e87-0290146a67df,,"Prendergast, Maurice","watercolor,landscape,impressionism"
5cbb3914-3367-4f46-9866-0e75a4ba61b5,,"Pranckevicius, Gediminas","surrealism,whimsical,detailed"
860c558f-e73e-498a-aa7f-f89fd3bc57d2,2,"Prades, Simon","digital,surrealism,whimsical"
4a7c013d-7078-48b9-89e6-9dc21bb4f9a6,3,"Potter, Paulus","landscape,baroque,scene"
6a967caf-bc1b-48bd-8d5d-b79feeed793a,3,"Potter, Beatrix","whimsical,watercolor,children's illustration"
7ded41f9-f990-48e3-8c44-6ec52fddce97,2,"Portinari, Candido","expressionism,scene"
354dff49-b58a-4a6c-8c0a-fdbb33c65ac2,3,"Popova, Lyubov","cubism,abstract"
